text,department
the LMS course page shows an error whenever I try to submit work. I tried from more than one device and the problem is the same. I request technical support for this issue.,IT Services
I am having trouble because the LMS course page is preventing me from accessing course material. I have already checked this more than once. Please resolve the technical problem before the deadline.,IT Services
"the viva schedule was entered under the wrong course code. Because of this error, I am unable to proceed with the next academic step. Please recheck the entry and let me know once it is fixed.",Academic
"Can u check this, my clearance form is causing difficulty with another university process. I need the document for another university process. Please review the documents and process the request.",Administrative Offices
Please check why the toilet flush is blocked and water is collecting around it. Please check the problem and restore the facility.,Maintenance & Facilities
"the campus network is not responding at all. Other university websites are opening normally. Because the issue is still unresolved, it is now affecting my normal university work. Please check the account or system and fix the issue.",IT Services
Please check why the hot water facility was handled differently from the stated hostel rules. Several residents on the floor are facing the same problem. Kindly inspect the issue and arrange the required solution.,Hostel/Provost Office
I would like to complain that the admission document has not been approved even after verification. Kindly review the documents and process the request.,Administrative Offices
the hostle gate procedure is not being handled according to the hostel procedure.,Hostel/Provost Office
"I am having trouble because the quiz score does not reflect the form I submitted on time. The department office asked me to wait, but there has been no update. Please check the matter before it affects my semester further.",Academic
I am writing regarding the hostel WiFi complaint record is causing unnecessary difficulty at night. The concerned hostel staff are requested to take action.,Hostel/Provost Office
Please check why my CGPA has been pending for several days. I have already checked this more than once. Please check the matter before it affects my semester further.,Academic
"I am having trouble because the prerequisite approval does not include marks for work that I submitted. Because of this error, I am unable to proceed with the next academic step. I have been trying to get this sorted out, but there has not been a clear resolution yet. I request the department to resolve this as soon as possible.",Academic
"Can u check this, the fee refund request shows an incorrect amount.",Administrative Offices
the email verification link fails before the process is completed. I need access before the current submission deadline. Please resolve the technical problem before the deadline.,IT Services
my student card has not been approved even after verification.,Administrative Offices
my portal login shows an error whenever I try to submit work.,IT Services
the parking area keeps stopping and starting. The problemm is now affecting more than one class. Kindly resolve the maintenance problem at the earliest.,Maintenance & Facilities
"There is a problem with course registration was entered under the wrong course code. The department office asked me to wait, but there has been no update. Kindly review this issue and update the academic record.",Academic
I am facing an issue because the registered credit hours has not been updated even though the instructor confirmed the correction. Please verify the record and correct it.,Academic
the lab computer is not connected to the campus network. I reported this earlier to the IT desk but it is still unresolved. Kindly check the network or account configuration.,IT Services
"Hi, there seems to be an issue with the hostel water supply is creating repeated arguments among residents. I have already checked this more than once. Please take action and update me about the complaint.",Hostel/Provost Office
There is a problem with the duplicate student card request has been delayed beyond the stated processing time. I have already checked this more than once. Please ask the concerned administrative office to resolve this.,Administrative Offices
my CGPA still shows the old information after correction. I request the department to resolve this as soon as possible.,Academic
Please check why the admission status is not appearing in the official record. The application was submitted within the announced dates. I request verification and completion of the pending process.,Administrative Offices
