text,department
I am having trouble because the washroom plumbing has been out of order for several days. The problem is now affecting more than one class. Please inspect the area and take the necessary action.,Maintenance & Facilities
There is a problem with my attandance record is different from what appears on the departmental notice. I need the corrected record for an upcoming academic requirement. I would be grateful if the responsible office could review the details instead of asking me to repeat the same process. Kindly investigate the discrepancy and make the required correction.,Academic
I want to bring this issue to your attention: my midterm marks is showing the wrong course information. I have already checked this more than once. Please update the record according to the submitted documents.,Academic
my clearance form is being delayed because the counter staff keep asking me to return later. The application was submitted within the announced dates. Kindly review the documents and process the request.,Administrative Offices
I need help because the mess timing needs attention from the provost office. I have already checked this more than once. I request the Provost Office to look into this matter.,Hostel/Provost Office
"the laboratory ventilation is making a loud noise throughout lectures. The facility is currently difficult to use safely. Because the issue is still unresolved, it is now affecting my normal university work. Please have this facility repaired or replaced.",Maintenance & Facilities
I am facing an issue because the hostel security refund has not been issued yet. Please resolve the issue without further unnecessary delay.,Administrative Offices
"Sir please check, i am facing an issue because my CGPA contains an error that is affecting my semester record. The supporting document was submitted at the department office. Please investigate the discrepancy and make the required correction.",Academic
"Can u check this, i would like to complain that the hostel curfew entry needs attention from the provost office. Please ask the hostel administration to resolve it.",Hostel/Provost Office
"I need help because my roommate issue was reported to the warden but no action has been taken. I informed the hostel staff earlier, but the issue continues. I have been trying to get this sorted out, but there has not been a clear resolution yet. Please take action and update me about the complaint.",Hostel/Provost Office
I would like to complain that the department elevator is not providing adequate service. It would be better to repair it before the damage increases. Kindly resolve the maintenance problem at the earliest.,Maintenance & Facilities
"the student portal keeps disconnecting during use. The issue occurs both in the lab and on my own device. Because the issue is still unresolved, it is now affecting my normal university work. Please resolve the technical problem before the deadline.",IT Services
the drinking wter supply is overflowing during busy hours. The area is frequently used by students and staff. I request urgent maintenance of this issue.,Maintenance & Facilities
"I want to report that the lecture desk is not providing adequate service. A maintenance complaint was already reported, but the problem remains. I have been trying to get this sorted out, but there has not been a clear resolution yet. Kindly send the maintenance team to inspect and fix it.",Maintenance & Facilities
There seems to be an issue with the hostel gate procedure has not been repaired despite an earlier request. Several residents on the floor are facing the same problem. I would be grateful if the responsible office could review the details instead of asking me to repeat the same process. Please handle the matter according to hostel policy.,Hostel/Provost Office
I am having trouble because the course section contains an error that is affecting my semester record. Kindly investigate the discrepancy and make the required correction.,Academic
the prerequisite approval still shows the old information after correction.,Academic
"This is getting difficult, can someone check why course registration has not been approved despite repeated follow-up. Please investigate the discrepancy and make the required correction.",Academic
I am writing regarding my hostel room allocation is causing unnecessary difficulty at night. I have already checked this more than once. The concerned hostel staff are requested to take action.,Hostel/Provost Office
the makeup exam request has an incorrect total after the latest update. I already contacted the relevant teacher but the record is unchanged. Kindly investigate the discrepancy and make the required correction.,Academic
