text,department
I need help because the password reset service is rejecting files that meet the stated requirements. I have already checked this more than once. I request technical support for this issue.,IT Services
Could you please look into this: the common room is making it difficult to stay in the room. I would like the matter to be handled according to hostel rules. Please ask the hostel administration to resolve it.,Hostel/Provost Office
I want to bring this issue to your attention: the registrar application is being delayed because the counter staff keep asking me to return later. This matter has remained unresolved for several working days. I would be grateful if the responsible office could review the details instead of asking me to repeat the same process. I request verification and completion of the pending process.,Administrative Offices
"Can u check this, i want to report that the water cooler keeps stopping and starting. I have already checked this more than once. Please inspect the area and take the necessary action.",Maintenance & Facilities
the result card was entered under the wrong course code. The supporting document was submitted at the department office. plz check the matter before it affects my semester further.,Academic
"I have a problem, i am facing an issue because the viva schedule shows a value that does not match the marks announced in class. I have already checked this more than once. Please investigate the discrepancy and make the required correction.",Academic
There is a problem with the hostel security refund was returned without explaining what is missing. Please ask the concerned administrative office to resolve this.,Administrative Offices
There seems to be an issue with the department printer has not been restored after an earlier complaint. The issue occurs both in the lab and on my own device. I would be grateful if the responsible office could review the details instead of asking me to repeat the same process. The IT team is requested to inspect and correct this.,IT Services
I want to report that the scholarship payment was entered under the wrong category. I have already visited the concerned office more than once. Kindly review the documents and process the request.,Administrative Offices
the laundry area is not available at the stated time. Please take action and update me about the complaint.,Hostel/Provost Office
"the hostel gate procedure is making it difficult to stay in the room. The issue needs attention before it becomes more serious. Because the issue is still unresolved, it is now affecting my normal university work. pls take action and update me about the complaint.",Hostel/Provost Office
the classroom projector is showing outdated information. This is affecting my ability to complete university work. Please check the account or system and fix the issue.,IT Services
Could you please look into this: my degree verification request has been pending without any clear update. The delay is creating difficulty with my semester matters. Kindly review the documents and process the request.,Administrative Offices
There seems to be an issue with the university WiFi has been unavailable since this morning. I have already checked this more than once. Please investigate the error and update the service.,IT Services
the prerequisite approval is creating a clash with another registered course. This issue is causing difficulty with my current semester planning. Please check the matter before it affects my semester further.,Academic
I am having trouble because the registrar application was returned without explaining what is missing. The concerned office is requested to check and complete this matter.,Administrative Offices
"Please help, i want to report that the laundry area needs attention from the provost offce. The problem is especially difficult during evening hours. Please take action and update me about the complaint.",Hostel/Provost Office
the fee refund request does not match the payment receipt. I need the document for another university process. Kindly check the application and provide an update.,Administrative Offices
the classroom projector is rejecting files that meet the stated requirements.,IT Services
"There is a problem with the bonafide certificate has no status update despite repeated visits. The counter staff asked me to check again later, but there is still no progress. Kindly check the application and provide an update.",Administrative Offices
I am having trouble because the department elevator is not working properly during class hours. I request urgent maintenance of this issue.,Maintenance & Facilities
"Can u check this, there seems to be an issue with the thesis progress review contains an error that is affecting my semester record. This issue is causing difficulty with my current semester planning. Please verify the record and correct it.",Academic
"I have a problem, i am facing an issue because the parking area is not working properly during class hours. Please send someone to inspect the location. The concerned staff are requested to repair this promptly.",Maintenance & Facilities
"Sir please check, i want to bring this issue to your attention: the hostel WiFi complaint record was handled differently from the stated hostel rules. I informed the hostel staff earlier, but the issue continues. Please take action and update me about the complaint.",Hostel/Provost Office
the admission status is causing difficulty with another university process. I request verification and completion of the pending process.,Administrative Offices
the viva schedule shows a value that does not match the marks announced in class. I already contacted the relevant teacher but the record is unchanged. Please verify the record and correct it.,Academic
I would like to complain that the lecture desk is producing a strong smell and needs maintenance. This is especially difficult when the room is full. I have been trying to get this sorted out but there has not been a clear resolution yet. Please have this facility repaired or replaced.,Maintenance & Facilities
"I have a problem, i want to report that the department printer keeps disconnecting during use. Please check the network or account configuration.",IT Services
Can someone check why the network connection does not send the verification message. The problem started recently and has continued since then. The IT team is requested to inspect and correct this.,IT Services
"Could you please look into this: the hostel WiFi complaint record is still unresolved after several days. Please check the hostel record for my earlier complaint. I have been trying to get this sorted out, but there has not been a clear resolution yet. The concerned hostel staff are requested to take action.",Hostel/Provost Office
"the student portal has not been restored after an earlier complaint. Restarting the device did not solve the issue. Because the issue is still unresolved, it is now affecting my normal university work. Please check the account or system and fix the issue.",IT Services
the LMS course page is extremely slow during class hours. I tried from more than one device and the problem is the same. Kindly check the network or account configuration.,IT Services
Can someone check why the fee refund request has not been forwarded to the concerned office. Please verify the record with the accounts or registrar office. Kindly check the application and provide an update.,Administrative Offices
the hostel security refund was entered under the wrong category. The delay is creating difficulty with my semester matters. I request verification and completion of the pending process.,Administrative Offices
"the final exam result has not been updated even though the instructor confirmed the correction. I have checked the portal more than once and the same problem remains. Because the issue is still unresolved, it is now affecting my normal university work. Please verify the record and correct it.",Academic
I am having trouble because the practical marks does not reflect the form I submitted on time. Kindly review this issue and update the academic record.,Academic
the washroom plumbing keeps stopping and starting. The facility is currently difficult to use safely. The concerned staff are requested to repair this promptly.,Maintenance & Facilities
"I have a problemm, the classroom fan is in poor condition and needs replacement. A maintenance complaint was already reported, but the problem remains. The concerned staff are requested to repair this promptly.",Maintenance & Facilities
I am having trouble because the practical marks was uploaded late and now I cannot complete the next process. I have already checked this more than once. I request the department to resolve this as soon as possible.,Academic
"my degree verification request was entered under the wrong category. I have kept a copy of the submitted form and payment receipt. becuase the issue is still unresolved, it is now affecting my normal university work. Kindly review the documents and process the request.",Administrative Offices
